ID_Influencer;Account;Title;Link;Followers;Authentic engagement;Engagement avg
655;jaybnow.hr;LIM JAE BEOM;https://www.instagram.com/jaybnow.hr/;6500000.0;496700.0;647600.0
656;leighannepinnock;Leigh-Anne Pinnock;https://www.instagram.com/leighannepinnock/;8300000.000000001;358600.0;511200.0
657;arcangel;HONOR,LEALTAD Y RESPETO.;https://www.instagram.com/arcangel/;12500000.0;197100.0;334400.0
658;bclsinclair;Bunga Citra Lestari;https://www.instagram.com/bclsinclair/;19800000.0;133100.0;209800.0
659;jaspritb1;jasprit bumrah;https://www.instagram.com/jaspritb1/;9400000.0;389000.0;447100.0
660;briandadeyanara;BRIANDA ??;https://www.instagram.com/briandadeyanara/;12500000.0;281300.0;330200.0
661;belindapop;Beli;https://www.instagram.com/belindapop/;14600000.0;196800.0;282100.0
662;davidwarner31;David Warner;https://www.instagram.com/davidwarner31/;8500000.0;417300.0;490600.0
663;lilyachty;C.V T;https://www.instagram.com/lilyachty/;10400000.0;193200.0;393400.0
664;aliciakeys;Alicia Keys;https://www.instagram.com/aliciakeys/;22600000.0;134900.0;180200.0
665;taylor_hill;Taylor Hill;https://www.instagram.com/taylor_hill/;18500000.0;147600.0;219300.0
666;rubyrose;Ruby Rose;https://www.instagram.com/rubyrose/;18500000.0;165700.0;219200.0
667;thiagosilva;Thiago Silva;https://www.instagram.com/thiagosilva/;18600000.0;128600.0;216300.0
668;toni.kr8s;Toni Kroos;https://www.instagram.com/toni.kr8s/;31200000.0;94400.0;128500.0
669;tiagoleifert;Tiago Leifert;https://www.instagram.com/tiagoleifert/;8199999.999999999;281700.0;490500.0
670;egorkreed;???? ???? | #HeartBreakKid;https://www.instagram.com/egorkreed/;14700000.0;221800.0;272000.0
671;thehughjackman;Hugh Jackman;https://www.instagram.com/thehughjackman/;30300000.0;115100.0;131900.0
672;andreavaldirisos;ANDREA VALDIRI ????;https://www.instagram.com/andreavaldirisos/;7400000.0;384000.0;546200.0
673;shikhardofficial;Shikhar Dhawan;https://www.instagram.com/shikhardofficial/;10300000.0;334000.0;382000.0
674;xavi;Xavi Herna?ndez;https://www.instagram.com/xavi/;7600000.0;353100.0;529800.0
675;kingryan;Ryan Garcia;https://www.instagram.com/kingryan/;8800000.0;301400.0;456300.0
676;rockstargames;Rockstar Games;https://www.instagram.com/rockstargames/;22000000.0;144700.0;180700.0
677;wos.ds3;Valenti?n Oliva;https://www.instagram.com/wos.ds3/;6300000.0;413800.0;633000.0
678;camilaloures;Camila Loures ?;https://www.instagram.com/camilaloures/;16900000.0;155500.0;232300.0
679;albafloresoficial;Alba Flores;https://www.instagram.com/albafloresoficial/;12100000.0;239900.0;323500.0
680;tiwasavage;Tiwa Savage ??;https://www.instagram.com/tiwasavage/;14400000.0;154900.0;274300.0
681;dear.zia;?????????????? .??;https://www.instagram.com/dear.zia/;3700000.0;956900.0;1100000.0
682;supercarblondie;Alex - that girl with the cars;https://www.instagram.com/supercarblondie/;9900000.0;252400.0;400100.0
683;roddyricch;;https://www.instagram.com/roddyricch/;6700000.0;309300.0;593700.0
684;memphisdepay;Memphis Depay;https://www.instagram.com/memphisdepay/;13500000.0;162700.0;288800.0
685;staskaranikolaou;Anastasia Karanikolaou;https://www.instagram.com/staskaranikolaou/;10800000.0;244400.0;358700.0
686;mahnaz_afshar;Mahnaz Afshar;https://www.instagram.com/mahnaz_afshar/;15400000.0;184200.0;254600.0
687;therealjosephmorgan;Joseph Morgan;https://www.instagram.com/therealjosephmorgan/;7800000.0;405800.0;507800.0
688;avrillavigne;Avril Lavigne;https://www.instagram.com/avrillavigne/;10500000.0;296900.0;370300.0
689;amybethmcnulty;Amybeth;https://www.instagram.com/amybethmcnulty/;6100000.0;463700.0;637300.0
690;officialtomellis;Tom Ellis;https://www.instagram.com/officialtomellis/;10200000.0;263800.0;379000.0
691;tombrady;Tom Brady;https://www.instagram.com/tombrady/;11300000.0;186500.0;345300.0
692;snoopdogg;snoopdogg;https://www.instagram.com/snoopdogg/;67700000.0;38300.0;57600.0
